sale_id,date,year,month,month_name,state,city,model,segment,fuel,price_lakh,customer_age_band,customer_gender,customer_occupation,payment_mode,sales_channel,csat_score,is_repeat_customer
100075,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,17.67,46-55,Male,Salaried - Private,Loan/Finance,Auto Expo/Event,5,0
100076,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Tiguan,SUV,Petrol,38.94,46-55,Female,Self-Employed/Business,Loan/Finance,Online Enquiry,4,0
100077,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Vento,Sedan,Petrol,14.41,36-45,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,3,0
100078,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Vento,Sedan,Petrol,12.9,46-55,Male,Retired,Cash/Full Payment,Referral,3,0
100079,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Polo,Hatchback,Petrol,8.13,36-45,Male,Salaried - Government,Loan/Finance,Online Enquiry,4,0
100080,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Polo,Hatchback,Petrol,9.78,18-25,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,3,1
100081,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Polo,Hatchback,Petrol,8.74,36-45,Male,Self-Employed/Business,Cash/Full Payment,Showroom Walk-in,5,0
100082,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Polo,Hatchback,Petrol,9.02,46-55,Male,Salaried - Private,Cash/Full Payment,Referral,5,0
100083,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Ameo,Sedan,Petrol,9.61,26-35,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,5,0
100084,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Ameo,Sedan,Petrol,9.52,26-35,Male,Salaried - Private,Cash/Full Payment,Online Enquiry,5,0
100085,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Virtus,Sedan,Petrol,15.95,18-25,Female,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0
100086,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Virtus,Sedan,Petrol,16.54,46-55,Male,Salaried - Private,Loan/Finance,Online Enquiry,1,0
100087,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Virtus,Sedan,Petrol,16.85,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,4,0
100088,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Taigun,SUV,Petrol,17.08,36-45,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,4,0
100089,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Polo,Hatchback,Petrol,9.23,26-35,Male,Salaried - Private,Cash/Full Payment,Online Enquiry,3,1
100090,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Ameo,Sedan,Petrol,9.38,36-45,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0
100091,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Ameo,Sedan,Petrol,9.88,46-55,Female,Retired,Loan/Finance,Referral,1,1
100092,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Virtus,Sedan,Petrol,16.73,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Auto Expo/Event,4,0
100093,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Virtus,Sedan,Petrol,16.02,26-35,Female,Salaried - Private,Loan/Finance,Auto Expo/Event,5,0
100094,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Virtus,Sedan,Petrol,16.51,26-35,Female,Salaried - Private,Cash/Full Payment,Referral,5,0
100095,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,17.53,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Referral,3,0
100096,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,15.68,46-55,Male,Salaried - Private,Loan/Finance,Online Enquiry,3,0
100097,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,16.47,26-35,Male,Salaried - Private,Loan/Finance,Online Enquiry,4,1
100098,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,16.24,36-45,Male,Salaried - Private,Loan/Finance,Exchange Mela,5,0
100099,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,16.67,56-65,Male,Self-Employed/Business,Cash/Full Payment,Showroom Walk-in,2,0
100100,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,18.12,36-45,Male,Salaried - Government,Loan/Finance,Auto Expo/Event,3,1
100101,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,17.28,36-45,Male,Salaried - Private,Loan/Finance,Referral,4,0
100102,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Ameo,Sedan,Petrol,9.18,26-35,Male,Self-Employed/Business,Cash/Full Payment,Referral,4,0
100103,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,16.61,36-45,Male,Self-Employed/Business,Cash/Full Payment,Online Enquiry,4,0
100104,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,17.02,26-35,Male,Salaried - Private,Loan/Finance,Online Enquiry,3,0
100105,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,16.83,36-45,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,4,1
100106,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,16.23,36-45,Male,Salaried - Private,Loan/Finance,Referral,4,0
100107,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,17.05,36-45,Female,Salaried - Private,Loan/Finance,Exchange Mela,5,0
100108,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,18.64,26-35,Female,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0
100109,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,19.53,26-35,Male,Salaried - Private,Loan/Finance,Online Enquiry,3,0
100110,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,16.24,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Online Enquiry,5,1
100111,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Polo,Hatchback,Petrol,9.72,65+,Female,Self-Employed/Business,Cash/Full Payment,Exchange Mela,3,0
100112,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Virtus,Sedan,Petrol,14.35,26-35,Male,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Referral,4,0
100113,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Virtus,Sedan,Petrol,18.17,36-45,Male,Salaried - Government,Loan/Finance,Exchange Mela,2,0
100114,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Virtus,Sedan,Petrol,16.25,36-45,Male,Salaried - Private,Cash/Full Payment,Auto Expo/Event,4,0
100115,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Virtus,Sedan,Petrol,15.63,18-25,Female,Salaried - Private,Loan/Finance,Exchange Mela,3,0
100116,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Taigun,SUV,Petrol,15.11,36-45,Male,Salaried - Government,Cash/Full Payment,Showroom Walk-in,2,1
100117,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Vento,Sedan,Petrol,15.14,46-55,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Showroom Walk-in,5,0
100118,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Vento,Sedan,Petrol,14.31,26-35,Female,Salaried - Private,Loan/Finance,Showroom Walk-in,2,1
100119,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Vento,Sedan,Petrol,15.09,18-25,Female,Salaried - Private,Cash/Full Payment,Showroom Walk-in,4,0
100120,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Vento,Sedan,Petrol,14.12,26-35,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0
100121,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Ameo,Sedan,Petrol,10.5,36-45,Male,Self-Employed/Business,Cash/Full Payment,Showroom Walk-in,3,1
100122,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Virtus,Sedan,Petrol,15.58,26-35,Female,Retired,Loan/Finance,Online Enquiry,4,0
100123,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Virtus,Sedan,Petrol,15.2,46-55,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,5,0
100124,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Virtus,Sedan,Petrol,15.64,56-65,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Referral,5,1
100125,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Virtus,Sedan,Petrol,15.11,26-35,Female,Retired,Loan/Finance,Referral,2,1
100126,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Taigun,SUV,Petrol,17.64,46-55,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,5,0
100127,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Taigun,SUV,Petrol,18.55,18-25,Female,Salaried - Private,Cash/Full Payment,Exchange Mela,5,0
100128,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Taigun,SUV,Petrol,14.38,18-25,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,5,0
100129,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Taigun,SUV,Petrol,15.55,36-45,Male,Retired,Loan/Finance,Online Enquiry,4,0
100130,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Taigun,SUV,Petrol,18.07,65+,Male,Self-Employed/Business,Cash/Full Payment,Exchange Mela,2,0
100131,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Taigun,SUV,Petrol,16.27,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0
100132,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Taigun,SUV,Petrol,17.34,56-65,Male,Salaried - Government,Cash/Full Payment,Showroom Walk-in,3,0
100133,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Vento,Sedan,Petrol,14.98,18-25,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Auto Expo/Event,4,0
100134,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Polo,Hatchback,Petrol,9.71,46-55,Male,Salaried - Government,Loan/Finance,Online Enquiry,4,0
100135,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Polo,Hatchback,Petrol,9.07,26-35,Male,Self-Employed/Business,Loan/Finance,Referral,4,0
100136,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Polo,Hatchback,Petrol,9.39,26-35,Male,Self-Employed/Business,Cash/Full Payment,Online Enquiry,5,0
100137,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Polo,Hatchback,Petrol,9.69,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,1
100138,2024-01-01,2024,1,Jan,Gujarat,Surat,Virtus,Sedan,Petrol,13.91,36-45,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,4,0
100139,2024-01-01,2024,1,Jan,Gujarat,Surat,Virtus,Sedan,Petrol,16.37,65+,Male,Salaried - Private,Loan/Finance,Online Enquiry,3,0
100140,2024-01-01,2024,1,Jan,Gujarat,Surat,Virtus,Sedan,Petrol,16.87,46-55,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,4,0
100141,2024-01-01,2024,1,Jan,Gujarat,Surat,Virtus,Sedan,Petrol,15.7,26-35,Male,Self-Employed/Business,Loan/Finance,Referral,5,0
100142,2024-01-01,2024,1,Jan,Gujarat,Surat,Virtus,Sedan,Petrol,15.1,26-35,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Online Enquiry,4,0
100143,2024-01-01,2024,1,Jan,Gujarat,Surat,Virtus,Sedan,Petrol,15.07,56-65,Male,Salaried - Private,Loan/Finance,Referral,5,0
100144,2024-01-01,2024,1,Jan,Gujarat,Surat,Taigun,SUV,Petrol,16.13,26-35,Male,Salaried - Private,Loan/Finance,Referral,4,0
100145,2024-01-01,2024,1,Jan,Gujarat,Surat,Taigun,SUV,Petrol,17.08,36-45,Male,Retired,Loan/Finance,Showroom Walk-in,5,0
100146,2024-01-01,2024,1,Jan,Gujarat,Surat,Taigun,SUV,Petrol,18.0,26-35,Male,Salaried - Private,Loan/Finance,Online Enquiry,4,0
100147,2024-01-01,2024,1,Jan,Gujarat,Surat,Vento,Sedan,Petrol,12.88,36-45,Male,Salaried - Government,Loan/Finance,Showroom Walk-in,5,1
100148,2024-01-01,2024,1,Jan,Gujarat,Surat,Polo,Hatchback,Petrol,9.68,26-35,Male,Salaried - Private,Loan/Finance,Exchange Mela,5,0
100149,2024-01-01,2024,1,Jan,Gujarat,Surat,Ameo,Sedan,Petrol,9.91,46-55,Male,Self-Employed/Business,Cash/Full Payment,Online Enquiry,2,1
100150,2024-01-01,2024,1,Jan,West Bengal,Kolkata,Virtus,Sedan,Petrol,15.96,36-45,Male,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Referral,5,0
100151,2024-01-01,2024,1,Jan,West Bengal,Kolkata,Virtus,Sedan,Petrol,16.09,46-55,Female,Salaried - Private,Cash/Full Payment,Auto Expo/Event,5,1
100152,2024-01-01,2024,1,Jan,West Bengal,Kolkata,Virtus,Sedan,Petrol,15.06,26-35,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,4,0
100153,2024-01-01,2024,1,Jan,West Bengal,Kolkata,Taigun,SUV,Petrol,15.69,36-45,Male,Salaried - Government,Loan/Finance,Exchange Mela,3,1
100154,2024-01-01,2024,1,Jan,West Bengal,Kolkata,Taigun,SUV,Petrol,17.22,46-55,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,4,0
100155,2024-01-01,2024,1,Jan,West Bengal,Kolkata,Taigun,SUV,Petrol,18.55,46-55,Male,Self-Employed/Business,Loan/Finance,Auto Expo/Event,5,1
100156,2024-01-01,2024,1,Jan,West Bengal,Kolkata,Taigun,SUV,Petrol,17.23,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0
100157,2024-01-01,2024,1,Jan,West Bengal,Kolkata,Taigun,SUV,Petrol,18.98,56-65,Male,Self-Employed/Business,Loan/Finance,Referral,4,1
100158,2024-01-01,2024,1,Jan,West Bengal,Kolkata,Tiguan,SUV,Petrol,38.13,26-35,Female,Self-Employed/Business,Loan/Finance,Showroom Walk-in,3,0
