sale_id,date,year,month,month_name,state,city,model,segment,fuel,price_lakh,customer_age_band,customer_gender,customer_occupation,payment_mode,sales_channel,csat_score,is_repeat_customer,revenue_lakh,revenue_rs,quarter,month_year
100018,2024-01-01,2024,1,Jan,Maharashtra,Pune,Virtus,Sedan,Petrol,15.15,46-55,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,4,0,15.15,1515000.0,1,Jan-2024
100019,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,17.88,46-55,Female,Salaried - Private,Cash/Full Payment,Auto Expo/Event,2,0,17.88,1788000.0,1,Jan-2024
100020,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,15.82,36-45,Male,Salaried - Private,Cash/Full Payment,Exchange Mela,5,0,15.82,1582000.0,1,Jan-2024
100021,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,13.98,65+,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0,13.98,1398000.0,1,Jan-2024
100022,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,16.09,46-55,Male,Salaried - Government,Loan/Finance,Online Enquiry,5,0,16.09,1609000.0,1,Jan-2024
100023,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,16.89,56-65,Male,Salaried - Private,Loan/Finance,Referral,3,0,16.89,1689000.0,1,Jan-2024
100024,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,17.32,36-45,Male,Self-Employed/Business,Loan/Finance,Exchange Mela,4,0,17.32,1732000.0,1,Jan-2024
100025,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,17.23,56-65,Male,Salaried - Government,Loan/Finance,Exchange Mela,5,0,17.23,1723000.0,1,Jan-2024
100026,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,17.41,26-35,Male,Salaried - Government,Loan/Finance,Showroom Walk-in,3,1,17.41,1741000.0,1,Jan-2024
100027,2024-01-01,2024,1,Jan,Maharashtra,Pune,Vento,Sedan,Petrol,13.09,26-35,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Referral,4,0,13.09,1309000.0,1,Jan-2024
100028,2024-01-01,2024,1,Jan,Maharashtra,Pune,Polo,Hatchback,Petrol,8.98,18-25,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,1,8.98,898000.0,1,Jan-2024
100029,2024-01-01,2024,1,Jan,Maharashtra,Pune,Polo,Hatchback,Petrol,9.44,36-45,Male,Salaried - Private,Loan/Finance,Exchange Mela,3,1,9.44,944000.0,1,Jan-2024
100030,2024-01-01,2024,1,Jan,Maharashtra,Pune,Polo,Hatchback,Petrol,9.17,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,3,0,9.17,917000.0,1,Jan-2024
100031,2024-01-01,2024,1,Jan,Maharashtra,Pune,Ameo,Sedan,Petrol,10.78,26-35,Male,Retired,Loan/Finance,Showroom Walk-in,4,0,10.78,1078000.0,1,Jan-2024
100032,2024-01-01,2024,1,Jan,Maharashtra,Pune,Ameo,Sedan,Petrol,9.37,46-55,Male,Salaried - Private,Loan/Finance,Online Enquiry,4,0,9.37,936999.9999999999,1,Jan-2024
100033,2024-01-01,2024,1,Jan,Maharashtra,Pune,Ameo,Sedan,Petrol,9.73,26-35,Male,Salaried - Private,Cash/Full Payment,Online Enquiry,4,0,9.73,973000.0,1,Jan-2024
100034,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Virtus,Sedan,Petrol,16.59,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0,16.59,1659000.0,1,Jan-2024
100035,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Virtus,Sedan,Petrol,15.28,36-45,Male,Salaried - Private,Cash/Full Payment,Auto Expo/Event,5,0,15.28,1528000.0,1,Jan-2024
100036,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Taigun,SUV,Petrol,18.01,56-65,Female,Professional (Doctor/CA/Lawyer),Loan/Finance,Referral,4,0,18.01,1801000.0000000002,1,Jan-2024
100037,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Taigun,SUV,Petrol,17.13,46-55,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,5,0,17.13,1713000.0,1,Jan-2024
100038,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Taigun,SUV,Petrol,16.63,26-35,Male,Self-Employed/Business,Loan/Finance,Referral,4,0,16.63,1663000.0,1,Jan-2024
100039,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Taigun,SUV,Petrol,15.64,36-45,Male,Salaried - Private,Cash/Full Payment,Showroom Walk-in,4,1,15.64,1564000.0,1,Jan-2024
100040,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Polo,Hatchback,Petrol,8.93,46-55,Male,Salaried - Private,Loan/Finance,Auto Expo/Event,4,0,8.93,893000.0,1,Jan-2024
100041,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Ameo,Sedan,Petrol,9.43,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,1,9.43,943000.0,1,Jan-2024
100042,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,14.53,36-45,Male,Salaried - Private,Cash/Full Payment,Referral,5,1,14.53,1453000.0,1,Jan-2024
100043,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,17.52,56-65,Male,Self-Employed/Business,Cash/Full Payment,Auto Expo/Event,4,0,17.52,1752000.0,1,Jan-2024
100044,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,16.18,36-45,Female,Salaried - Private,Loan/Finance,Showroom Walk-in,4,1,16.18,1618000.0,1,Jan-2024
100045,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,15.5,56-65,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0,15.5,1550000.0,1,Jan-2024
100046,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,16.23,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,4,0,16.23,1623000.0,1,Jan-2024
100047,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,16.41,46-55,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0,16.41,1641000.0,1,Jan-2024
100048,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,16.31,36-45,Female,Retired,Loan/Finance,Showroom Walk-in,5,1,16.31,1630999.9999999998,1,Jan-2024
100049,2024-01-01,2024,1,Jan,Delhi,New Delhi,Taigun,SUV,Petrol,15.99,46-55,Female,Professional (Doctor/CA/Lawyer),Loan/Finance,Showroom Walk-in,5,0,15.99,1599000.0,1,Jan-2024
100050,2024-01-01,2024,1,Jan,Delhi,New Delhi,Taigun,SUV,Petrol,18.45,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0,18.45,1845000.0,1,Jan-2024
100051,2024-01-01,2024,1,Jan,Delhi,New Delhi,Taigun,SUV,Petrol,16.4,26-35,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,5,1,16.4,1639999.9999999998,1,Jan-2024
100052,2024-01-01,2024,1,Jan,Delhi,New Delhi,Taigun,SUV,Petrol,16.85,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Auto Expo/Event,4,0,16.85,1685000.0000000002,1,Jan-2024
100053,2024-01-01,2024,1,Jan,Delhi,New Delhi,Taigun,SUV,Petrol,18.32,36-45,Female,Salaried - Private,Cash/Full Payment,Showroom Walk-in,3,0,18.32,1832000.0,1,Jan-2024
100054,2024-01-01,2024,1,Jan,Delhi,New Delhi,Polo,Hatchback,Petrol,9.15,26-35,Male,Salaried - Government,Cash/Full Payment,Auto Expo/Event,4,0,9.15,915000.0,1,Jan-2024
100055,2024-01-01,2024,1,Jan,Delhi,New Delhi,Ameo,Sedan,Petrol,9.41,26-35,Male,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Showroom Walk-in,5,0,9.41,941000.0,1,Jan-2024
100056,2024-01-01,2024,1,Jan,Delhi,New Delhi,Ameo,Sedan,Petrol,9.34,36-45,Male,Self-Employed/Business,Loan/Finance,Referral,1,0,9.34,934000.0,1,Jan-2024
100057,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,16.14,36-45,Female,Salaried - Private,Loan/Finance,Referral,3,0,16.14,1614000.0,1,Jan-2024
100058,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,17.43,46-55,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0,17.43,1743000.0,1,Jan-2024
100059,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,14.08,36-45,Male,Self-Employed/Business,Loan/Finance,Referral,5,0,14.08,1408000.0,1,Jan-2024
100060,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,16.67,36-45,Female,Salaried - Government,Cash/Full Payment,Online Enquiry,5,1,16.67,1667000.0000000002,1,Jan-2024
100061,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,14.59,18-25,Male,Salaried - Government,Loan/Finance,Auto Expo/Event,5,0,14.59,1459000.0,1,Jan-2024
100062,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,14.57,26-35,Male,Salaried - Government,Loan/Finance,Online Enquiry,5,0,14.57,1457000.0,1,Jan-2024
100063,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,15.97,65+,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Referral,4,0,15.97,1597000.0,1,Jan-2024
100064,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,15.07,26-35,Male,Salaried - Private,Loan/Finance,Auto Expo/Event,3,0,15.07,1507000.0,1,Jan-2024
100065,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,15.46,36-45,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,3,0,15.46,1546000.0,1,Jan-2024
100066,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,16.65,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,4,0,16.65,1664999.9999999998,1,Jan-2024
100067,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,17.28,36-45,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,2,0,17.28,1728000.0,1,Jan-2024
100068,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,16.33,26-35,Male,Salaried - Private,Cash/Full Payment,Showroom Walk-in,5,0,16.33,1632999.9999999998,1,Jan-2024
100069,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,16.93,26-35,Female,Salaried - Private,Cash/Full Payment,Showroom Walk-in,5,0,16.93,1693000.0,1,Jan-2024
100070,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,16.86,46-55,Female,Self-Employed/Business,Loan/Finance,Online Enquiry,3,0,16.86,1686000.0,1,Jan-2024
100071,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,17.55,36-45,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,2,0,17.55,1755000.0,1,Jan-2024
100072,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,16.07,36-45,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0,16.07,1607000.0,1,Jan-2024
100073,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,19.32,46-55,Male,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Showroom Walk-in,2,1,19.32,1932000.0,1,Jan-2024
100074,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,16.29,26-35,Male,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Showroom Walk-in,3,1,16.29,1629000.0,1,Jan-2024
100075,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,17.67,46-55,Male,Salaried - Private,Loan/Finance,Auto Expo/Event,5,0,17.67,1767000.0000000002,1,Jan-2024
100076,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Tiguan,SUV,Petrol,38.94,46-55,Female,Self-Employed/Business,Loan/Finance,Online Enquiry,4,0,38.94,3894000.0,1,Jan-2024
100077,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Vento,Sedan,Petrol,14.41,36-45,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,3,0,14.41,1441000.0,1,Jan-2024
100078,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Vento,Sedan,Petrol,12.9,46-55,Male,Retired,Cash/Full Payment,Referral,3,0,12.9,1290000.0,1,Jan-2024
100079,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Polo,Hatchback,Petrol,8.13,36-45,Male,Salaried - Government,Loan/Finance,Online Enquiry,4,0,8.13,813000.0000000001,1,Jan-2024
100080,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Polo,Hatchback,Petrol,9.78,18-25,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,3,1,9.78,977999.9999999999,1,Jan-2024
100081,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Polo,Hatchback,Petrol,8.74,36-45,Male,Self-Employed/Business,Cash/Full Payment,Showroom Walk-in,5,0,8.74,874000.0,1,Jan-2024
100082,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Polo,Hatchback,Petrol,9.02,46-55,Male,Salaried - Private,Cash/Full Payment,Referral,5,0,9.02,902000.0,1,Jan-2024
100083,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Ameo,Sedan,Petrol,9.61,26-35,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,5,0,9.61,961000.0,1,Jan-2024
100084,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Ameo,Sedan,Petrol,9.52,26-35,Male,Salaried - Private,Cash/Full Payment,Online Enquiry,5,0,9.52,952000.0,1,Jan-2024
100085,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Virtus,Sedan,Petrol,15.95,18-25,Female,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0,15.95,1595000.0,1,Jan-2024
100086,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Virtus,Sedan,Petrol,16.54,46-55,Male,Salaried - Private,Loan/Finance,Online Enquiry,1,0,16.54,1654000.0,1,Jan-2024
100087,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Virtus,Sedan,Petrol,16.85,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,4,0,16.85,1685000.0000000002,1,Jan-2024
100088,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Taigun,SUV,Petrol,17.08,36-45,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,4,0,17.08,1707999.9999999998,1,Jan-2024
100089,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Polo,Hatchback,Petrol,9.23,26-35,Male,Salaried - Private,Cash/Full Payment,Online Enquiry,3,1,9.23,923000.0,1,Jan-2024
100090,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Ameo,Sedan,Petrol,9.38,36-45,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0,9.38,938000.0000000001,1,Jan-2024
100091,2024-01-01,2024,1,Jan,Karnataka,Mysuru,Ameo,Sedan,Petrol,9.88,46-55,Female,Retired,Loan/Finance,Referral,1,1,9.88,988000.0000000001,1,Jan-2024
100092,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Virtus,Sedan,Petrol,16.73,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Auto Expo/Event,4,0,16.73,1673000.0,1,Jan-2024
100093,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Virtus,Sedan,Petrol,16.02,26-35,Female,Salaried - Private,Loan/Finance,Auto Expo/Event,5,0,16.02,1602000.0,1,Jan-2024
100094,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Virtus,Sedan,Petrol,16.51,26-35,Female,Salaried - Private,Cash/Full Payment,Referral,5,0,16.51,1651000.0000000002,1,Jan-2024
100095,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,17.53,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Referral,3,0,17.53,1753000.0,1,Jan-2024
100096,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,15.68,46-55,Male,Salaried - Private,Loan/Finance,Online Enquiry,3,0,15.68,1568000.0,1,Jan-2024
100097,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,16.47,26-35,Male,Salaried - Private,Loan/Finance,Online Enquiry,4,1,16.47,1647000.0,1,Jan-2024
100098,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,16.24,36-45,Male,Salaried - Private,Loan/Finance,Exchange Mela,5,0,16.24,1623999.9999999998,1,Jan-2024
100099,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,16.67,56-65,Male,Self-Employed/Business,Cash/Full Payment,Showroom Walk-in,2,0,16.67,1667000.0000000002,1,Jan-2024
100100,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,18.12,36-45,Male,Salaried - Government,Loan/Finance,Auto Expo/Event,3,1,18.12,1812000.0,1,Jan-2024
100101,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Taigun,SUV,Petrol,17.28,36-45,Male,Salaried - Private,Loan/Finance,Referral,4,0,17.28,1728000.0,1,Jan-2024
100102,2024-01-01,2024,1,Jan,Tamil Nadu,Chennai,Ameo,Sedan,Petrol,9.18,26-35,Male,Self-Employed/Business,Cash/Full Payment,Referral,4,0,9.18,918000.0,1,Jan-2024
100103,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,16.61,36-45,Male,Self-Employed/Business,Cash/Full Payment,Online Enquiry,4,0,16.61,1661000.0,1,Jan-2024
100104,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,17.02,26-35,Male,Salaried - Private,Loan/Finance,Online Enquiry,3,0,17.02,1702000.0,1,Jan-2024
100105,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,16.83,36-45,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,4,1,16.83,1682999.9999999998,1,Jan-2024
100106,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,16.23,36-45,Male,Salaried - Private,Loan/Finance,Referral,4,0,16.23,1623000.0,1,Jan-2024
100107,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,17.05,36-45,Female,Salaried - Private,Loan/Finance,Exchange Mela,5,0,17.05,1705000.0,1,Jan-2024
100108,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,18.64,26-35,Female,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0,18.64,1864000.0,1,Jan-2024
100109,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,19.53,26-35,Male,Salaried - Private,Loan/Finance,Online Enquiry,3,0,19.53,1953000.0,1,Jan-2024
100110,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Taigun,SUV,Petrol,16.24,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Online Enquiry,5,1,16.24,1623999.9999999998,1,Jan-2024
100111,2024-01-01,2024,1,Jan,Tamil Nadu,Coimbatore,Polo,Hatchback,Petrol,9.72,65+,Female,Self-Employed/Business,Cash/Full Payment,Exchange Mela,3,0,9.72,972000.0000000001,1,Jan-2024
100112,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Virtus,Sedan,Petrol,14.35,26-35,Male,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Referral,4,0,14.35,1435000.0,1,Jan-2024
100113,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Virtus,Sedan,Petrol,18.17,36-45,Male,Salaried - Government,Loan/Finance,Exchange Mela,2,0,18.17,1817000.0000000002,1,Jan-2024
100114,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Virtus,Sedan,Petrol,16.25,36-45,Male,Salaried - Private,Cash/Full Payment,Auto Expo/Event,4,0,16.25,1625000.0,1,Jan-2024
100115,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Virtus,Sedan,Petrol,15.63,18-25,Female,Salaried - Private,Loan/Finance,Exchange Mela,3,0,15.63,1563000.0,1,Jan-2024
100116,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Taigun,SUV,Petrol,15.11,36-45,Male,Salaried - Government,Cash/Full Payment,Showroom Walk-in,2,1,15.11,1511000.0,1,Jan-2024
100117,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Vento,Sedan,Petrol,15.14,46-55,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Showroom Walk-in,5,0,15.14,1514000.0,1,Jan-2024
100118,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Vento,Sedan,Petrol,14.31,26-35,Female,Salaried - Private,Loan/Finance,Showroom Walk-in,2,1,14.31,1431000.0,1,Jan-2024
100119,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Vento,Sedan,Petrol,15.09,18-25,Female,Salaried - Private,Cash/Full Payment,Showroom Walk-in,4,0,15.09,1509000.0,1,Jan-2024
100120,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Vento,Sedan,Petrol,14.12,26-35,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0,14.12,1412000.0,1,Jan-2024
100121,2024-01-01,2024,1,Jan,Telangana,Hyderabad,Ameo,Sedan,Petrol,10.5,36-45,Male,Self-Employed/Business,Cash/Full Payment,Showroom Walk-in,3,1,10.5,1050000.0,1,Jan-2024
100122,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Virtus,Sedan,Petrol,15.58,26-35,Female,Retired,Loan/Finance,Online Enquiry,4,0,15.58,1558000.0,1,Jan-2024
100123,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Virtus,Sedan,Petrol,15.2,46-55,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,5,0,15.2,1520000.0,1,Jan-2024
100124,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Virtus,Sedan,Petrol,15.64,56-65,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Referral,5,1,15.64,1564000.0,1,Jan-2024
100125,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Virtus,Sedan,Petrol,15.11,26-35,Female,Retired,Loan/Finance,Referral,2,1,15.11,1511000.0,1,Jan-2024
100126,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Taigun,SUV,Petrol,17.64,46-55,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,5,0,17.64,1764000.0,1,Jan-2024
100127,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Taigun,SUV,Petrol,18.55,18-25,Female,Salaried - Private,Cash/Full Payment,Exchange Mela,5,0,18.55,1855000.0,1,Jan-2024
100128,2024-01-01,2024,1,Jan,Gujarat,Ahmedabad,Taigun,SUV,Petrol,14.38,18-25,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,5,0,14.38,1438000.0,1,Jan-2024
